terrai_codigo,terrai_nome,municipio_nome,uf_sigla,superficie_perimetro_ha,fase_ti,modalidade_ti,data_em_estudo,tit_em_estudo,data_delimitada,tit_delimitada,data_declarada,tit_declarada,data_homologada,tit_homologada,data_regularizada,tit_regularizada
101,Acapuri de Cima,Fonte Boa                               ,AM,"198,850,378",Declarada,Tradicionalmente ocupada,12/3/1997,"Portaria nº 1280, de 03 de dezembro de 1997",8/23/1999,"Despacho nº 46, de 23 de agosto de 1999",4/13/2000,"Portaria nº 287, de 13 de abril de 2000",,,,
201,Acimã,Lábrea                                  ,AM,"40,686,034",Regularizada,Tradicionalmente ocupada,,,,,5/28/1992,"Portaria Declaratoria nº 252, de ",11/3/1997,Decreto de 3 de novembro de 1997,12/9/1997,Matr. R1-1963  Lv. 2-H  Fl. 25
601,Aconã,Traipu                                  ,AL,"2,677,862",Regularizada,Reserva Indígena,,,,,,,,,4/1/2005,"R-2-1.020, Lv. 2-F/RG, Fl. 155"
301,Água Limpa,Rochedo                                 ,MS,0,Em Estudo,Tradicionalmente ocupada,10/8/1999,"Portaria nº 948, de 8 de outubro de 1999",,,,,,,,
401,Água Preta/Inari,Pauini                                  ,AM,"1,397,636,705",Regularizada,Tradicionalmente ocupada,9/5/1986,Portaria nº 1347 de 05 de setembro de 1986,7/30/1993,"Despacho nº 16, de 30 de Julho de 1993",9/30/1993,"Portaria Declaratória nº 362, de 30 de setembro de 1993",11/3/1997,Decreto de 3 de novembro de 1997,5/17/1999,Matr. 276  Lv. 2-A  Fl. 83/83V
501,Águas Belas,Prado                                   ,BA,"11,890,649",Regularizada,Tradicionalmente ocupada,,,11/28/1995,"Despacho nº 96, de 28 de Novembro de 1995",5/17/1996,Portaria Declaratória nº 312 de 17.05.96,9/8/1998,Decreto de 8 de setembro de 1998,1/11/2000,Matr. 13.751  Lv. RG  Fl. -
72801,Águas Claras,Major Gercino                           ,SC,165,Regularizada,Reserva Indígena,,,,,,,,,,
701,Aldeia Kondá,Chapecó                                 ,SC,2300,Encaminhada RI,Reserva Indígena,7/20/1998,"Portaria nº 761, de 20 de julho de 1998",,,,,,,,
801,Aldeia Limão Verde,Amambaí                                 ,MS,"6,680,796",Regularizada,Tradicionalmente ocupada,6/7/1999,"Portaria nº 384, de 07 de Junho de 1999",,,,,,,,
901,Aldeia Velha,Porto Seguro                            ,BA,"19,975,526",Declarada,Tradicionalmente ocupada,11/20/2012,Portaria Migração,6/12/2008,"Despacho n° 24, de 12 de junho de 2008",12/31/2010,"Portaria nº 4221, de 31 de dezembro de 2010",,,,
1001,Alto Rio Guamá,"Garrafão do Norte, Nova Esperança do Piriá, Paragominas, Santa Luzia do Pará",PA,"279897,7",Regularizada,Tradicionalmente ocupada,,,,,7/28/1988,"Portaria Interministerial nº 138, de 28 de Julho de 1988",10/4/1993,Decreto de 4 de outubro de 1993,10/17/1994,Matr. 4.849  Lv. 2-P  Fl. 189
1101,Alto Rio Negro,Japurá e São Gabriel da Cachoeira     ,AM,"79,993,811,683",Regularizada,Tradicionalmente ocupada,11/25/1996,Portaria nº 1074 de 05 de nobembro de 1996,5/28/1992,"Despacho nº 12, de 28 de maio de 1992",1/26/1988,"Portaria Interministerial nº 12, de 26 de Janeiro de 1988",11/23/1989,"Decreto nº 98.437, de 23.11.89",6/22/1999,Matr. 14  Lv. 01  Fl. 14
1201,Alto Rio Purus,"Manoel Urbano, Santa Rosa do Purus             ",AC,"2,631,298,062",Regularizada,Tradicionalmente ocupada,11/20/2012,Portaria Migração,8/21/1991,"Despacho nº 04, de 21 de agosto de 1991",10/23/1991,"Portaria Declaratória nº 543,  de 23/10/91",1/5/1996,Decreto de 05 de janeiro de 1996,1/17/1996,Matr. 2.062  Lv. 2-RG  Fl. 131
1301,Alto Sepatini,Lábrea                                  ,AM,"260,956,979",Regularizada,Tradicionalmente ocupada,9/5/1986,Portaria nº 1347 de 05 de setembro de 1986,11/8/1991,"Despacho nº 30, de 08 de Novembro de 1991",5/28/1992,"Portaria nº 253, de 28 de Maio de 1992",11/3/1997,Decreto de 3 de novembro de 1997,12/15/1997,Matr. R1/1962  Lv. 2-H  Fl. 24
1401,Alto Tarauacá,"Feijó, Jordão                  ",AC,"1,426,191,069",Regularizada,Tradicionalmente ocupada,5/22/1998,"Portaria nº 483, de 22 de maio de 1998",4/18/2000,"Despacho nº 18, de 18 de abril de 2000",4/20/2001,"Portaria nº 369, de 20 de abril de 2001",10/27/2004,Decreto de 27 de outubro de 2004,7/4/2007,"Matr. 1.135, Lv. 2-E, Fls. 102"
1501,Alto Turiaçu,"Centro do Guilherme, Zé Doca, Araguanã, Maranhãozinho, Santa Luzia do Paruá, Centro Novo do Maranhão                  ",MA,"5,305,247,417",Regularizada,Tradicionalmente ocupada,7/10/2009,"Portaria nº 741, de 10 de Julho de 2009",,,9/14/1982,"Portaria nº 1408, de 14 de Setembro de 1982",12/28/1982,"Decreto nº  88002, de 28 de dezembro de 1982",3/28/1983,Matr. 487  Lv. 2-D  Fl. 41
1601,Amambai,Amambaí                                 ,MS,"24,295,454",Regularizada,Tradicionalmente ocupada,5/29/1987,Portaria nº 1245 de 29 de maio de 1987,,,,,10/29/1991,"Decreto nº 277,  de 29 de outubro de 1991",,
72901,Amaral/Tekoá Kuriy,Biguaçu                                 ,SC,"501,36",Regularizada,Reserva Indígena,,,,,,,,,,
71701,Amba Porã,"Miracatu, Sete Barras",SP,0,Em Estudo,Tradicionalmente ocupada,11/3/2011,"Portaria nº 1509, de 3 de novembro de 2011",,,,,,,,
71101,Anacé,Caucaia                                 ,CE,0,Em Estudo,Tradicionalmente ocupada,8/9/2012,"Portaria nº 996, de 9 de agosto de 2012",,,,,,,,
1801,Anambé,Moju                                    ,PA,"78,828,329",Regularizada,Tradicionalmente ocupada,11/9/1984,"Portaria nº 1793, de 09 de novembro de 1984",,,,,12/24/1991,"Decreto de nº 380, de 24 de dezembro de 1991",3/20/1992,Matr. 4.024  Lv. 2-AT  Fl. 124V
1901,Ananás,Amajari                                 ,RR,"1,769,422",Regularizada,Tradicionalmente ocupada,,,,,11/6/1981,"Portaria nº 1138, de 06 de Novembro de 1981",2/16/1982,"Decreto nº 86920, de 16 de fevereiro de 1982",11/22/1988,Matr. 9.340  Lv. 2/RG  Fl. 01
51601,Anaro,Amajari                                 ,RR,"304,739,506",Regularizada,Tradicionalmente ocupada,10/10/2002,"Portaria nº 1060, de 10 de outubro de 2002",11/30/2004,"Despacho nº 136/PRES, de 30 de novembro de 2004",6/22/2006,"Portaria n° 962, de 22 de junho de 2006",12/21/2009,Decreto de 21 de dezembro de 2009,5/7/2010,"Matr. 45443, Lv. 2-RG, Fl. 01"
2001,Andirá-Marau,"Parintins, Aveiro, Maués,Barreirinha, Itaituba                               ",AM/PA,"788,528,383",Regularizada,Tradicionalmente ocupada,,,,,5/6/1982,"Portaria nº 1216, de Maio de 1982",8/6/1986,"Decreto nº  93.069, de 6 de agosto de 1986",2/26/1987,Matr. 3.059  Lv. 2-G  Fl. 28
2101,Aningal,Amajari                                 ,RR,"76,270,391",Regularizada,Tradicionalmente ocupada,3/14/1977,"Portaria nº GM/111, de 14 de março de 1977",,,11/6/1981,"Portaria nº 1137, de 06 de novembro de 1981",2/17/1982,"Decreto nº  86933,  de 17 de fevereiro de 1982",11/22/1988,Matr. 9.342  Lv. 2/RG  Fl. 01
2201,Anta,Alto Alegre                             ,RR,"31,738,226",Regularizada,Tradicionalmente ocupada,10/21/1977,"Portaria nº 549, de 21 de Outubro de 1977",,,6/21/1982,"Portaria nº 1225, de 21 de Maio de 1982",12/24/1991,"Decreto nº 376, de 24 de dezembro de 1991",3/24/1992,Matr. 12.483  Lv. 2/RG  Fl. 01
66601,Apapeguá,Ponta Porã                              ,MS,0,Em Estudo,Tradicionalmente ocupada,9/28/2010,"Portaria nº 1422, de 28 de setembro de 2010",,,,,,,,
68301,Apiaká do Pontal e Isolados,Apiacás                                 ,MT,982324,Delimitada,Tradicionalmente ocupada,2/4/2010,"Portaria nº 144, de 4 de fevereiro de 2010",4/19/2011,"Despacho nº 14, de 19 de abril de 2011",,,,,,
2301,Apiaka/Kayabi,Juara                                   ,MT,"1,092,453,822",Regularizada,Tradicionalmente ocupada,12/2/1982,"Portaria nº 1472, de 02 de dezembro de 1982",,,,,12/24/1991,"Decreto nº 394,  de 24 de dezembro de 1991",8/19/1988,"Matr.3428, fl 01, lvr. nº2, Comarca de Porto dos Gaúchos"
2401,Apinayé,"Cachoeirinha, Itaguatins, Maurilandia do Tocantins, São Bento do Tocantins, Tocantinopolis         ",TO,"1,419,042,092",Regularizada,Tradicionalmente ocupada,11/11/1980,"Portaria nº 884, de 11 de Novembro de 1980",,,,,11/3/1997,Decreto de 3 de novembro de 1997,11/26/1997,Matr. 14  Lv. 2-RG  Fl. 14
2501,Apipica,Careiro da Várzea                       ,AM,"6,527,562",Regularizada,Tradicionalmente ocupada,10/9/1998,"Portaria nº 969, de 9 de outubro de 1998",4/24/2000,"Depacho nº 20, de 24 de abril de 2000",4/20/2001,"Portaria nº 363, de 20 de abril de 2001",5/5/2003,Decreto de 05 de maio de 2003,6/30/2003,"Matr. 485, Lv. 2-RG, Fl. -"
2601,Apucarana,Londrina                                ,PR,"5,574,945",Regularizada,Tradicionalmente ocupada,,,,,,,,,,
