Case No,ad_id,terra_indigena,povo,muni,year,report_cat,dem_status,primary_conflict,pc_spec,pc_other,pc_comment,secondary_conflict,sc_spec,sc_other,sc_comment,violence,gov_support,gov_level,gov_spec,counterparty,counterparty_spec,
1,5097,Buriti,,,2003,2,.,6,66,,,9,99,,,2,3,,,1,,
2,5583,Taquara,,,2003,2,.,1,11|13,,"report states homocide and several violent disputes between police, indigenous people and non-indigenous. Even though report rates incident und land violence",2,23,,,1,3,,,1,The government supported the elucidation and investigation of the case.,
3,5602,Terena,,,2003,2,.,6,66,,,9,99,,,9,1,1,demonstration in front of FUNAI,1,Funai,
4,5416,Panambi,,,2003,2,.,1,14,,,9,99,,,9,2,,,9,,
5,5417,Panambizinho,,,2003,2,.,1,14,,,9,99,,,9,2,,,9,,
6,5097,Buriti,,,2003,2,.,6,61,,,9,99,,,9,2,,,9,,
7,5097,Buriti,,,2003,2,.,5,50,"farmers want to enter the occupied estate for harvest, farmes enter trial",conflict seems to be legal dispute,9,99,,,2,1,1,farmers demand the federal police for support,9,,
8,5097,Buriti,,,2003,2,.,6,63,,,9,99,,,9,3,,,2,agriculture association,
9,5583,Taquara,,,2003,2,.,6,66,,,8,81|83|88,,,9,3,,,3,farmers,
10,.,Aldeia Campestre,Guarani-Kaiowá,António João,2003,2,.,6,63,indigenous slaughtered cattle,,10,101,,,1,2,,,3,farmers,
11,5097,Buriti,,,2003,2,.,6,67,,,9,99,,,9,3,1,FUNAI delays demarcation,1,Funai,
12,5097,Buriti,,,2003,2,.,6,66,,,8,81|83|88,iminence of violence,,9,2,,,2|3,losley organized day laborer,
13,5097,Buriti,,,2003,2,.,6,63,,,4,50,harvest,,9,2,,,3,farmers,
14,5097,Buriti,,,2003,2,.,1,11,,,5,50,rejection of anthropological study that proves indigenous right of land,,2,3,4,court does not consider antrophological study and thus delays demarcation,1,court and judge,
15,5097,Buriti,,,2003,2,.,6,66,,,5,50,indigenous hijack bus,,1,2,,,1,police and state government,
16,5097,Buriti,,,2003,2,.,1,11,,,7,72,,,9,2,,,1|2,officials and indigenous,
17,5097,Buriti,,,2003,2,.,7,73,,,9,99,,,2,1,1,,4,indigenous,
18,5602,Terena,,,2003,2,.,1,14,,,10,104|105,confrontation with police forces,,9,2,,,1,,
19,.,,,Campo Grande,2003,2,.,1,14,,,9,99,,,2,2,,,1,,
20,5602,Terena,,,2003,2,.,5,50,fear of invasion of farms by indigenous lead to police presence on the farm,,9,99,,,9,1,1,military police,4,indigenous,
21,5602,Terena,,,2003,2,.,1,14,,,9,99,,,2,2,,,1|4,Judge | indigenous,
22,5097,Buriti,,,2003,2,.,7,50,proposal by judge to buy the land and give to the indigenous,,9,99,,,2,1,1,,9,,
23,5476,Porto Lindo,,,2003,2,.,6,67,,,9,99,,,9,2,,,3,farmers,
24,.,Curaia,Curuaia,Altamira,2003,2,.,5,50,indigenous detent smugglers,,1|2|3|4,11|23|44|50,smugglers used mercury,,9,2,,,1|3,government and FUNAI help to solve the situation and free the smugglers,
25,5081,Baú,,,2003,2,.,1,14,,,1,11,,,1,2,,,1,police and FUNAI,
