SP_ID,gpw4_2000e,id,gpw4_2005e,gpw4_2010e,gpw4_2015e,gpw4_2020e,ncc4_1992e,ncc4_1993e,ncc4_1994e,ncc4_1995e,ncc4_1996e,ncc4_1997e,ncc4_1998e,ncc4_1999e,ncc4_2000e,ncc4_2001e,ncc4_2002e,ncc4_2003e,ncc4_2004e,ncc4_2005e,ncc4_2006e,ncc4_2007e,ncc4_2008e,ncc4_2009e,ncc4_2010e,ncc4_2011e,ncc4_2012e,dflc_e,dcfu_e,dcsu_e,dfmi_e,dfrw_e,ncc4_2013e
0,2.121943474,1,2.187672853,2.208977699,2.206801414,2.190168858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1543353.5,1186508,1072087.75,976926.1875,21712.88867,0
1,2.045827389,2,1.759137154,1.480979681,1.235373616,1.01663661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693493.0625,62589.46875,0,81021.20313,1182185.5,0
2,0.184558868,3,0.213315845,0.240559816,0.269702554,0.297160059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284459.375,128562.0313,183002.9375,187689.7344,1274498.25,0
3,0.267489076,4,0.27945444,0.285779148,0.288991958,0.289564639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309107.5625,82584.99219,233166.4375,275495.8125,1351897.625,0
4,17.19606781,5,17.75118256,18.00349998,18.06433105,17.86611748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452225.75,1007655.125,1174457,863739.8125,332008.4688,0
5,25.48876572,6,27.05096817,28.13479805,28.93241119,29.41064262,1.013053179,0,0,0.150711983,1.029041648,1.050731182,1.418274641,1.418274641,0.113033988,2.278746367,1.225893855,0.882035673,1.244732857,0.521105886,1.418274641,0,0.113033988,0.623082638,1.880763292,3.356907129,2.582752705,1252061.25,949199,923468.1875,970271.1875,8963.680664,2.5
6,23.00794029,7,25.94151688,28.66355324,31.35816956,33.99492645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155673,1.279592991,2.016489983,0,1654959,1177575.5,1287676.5,1158109.75,58525.64063,0.25
7,101.7776489,8,111.9165115,120.5975113,128.5670319,135.703537,0,4.42523098,0,1.723576188,3.101801872,2.653559685,1.128620863,0.193677112,1.658689022,0.825377107,4.812268257,1.605730057,3.34675169,0,0.005141254,3.525462627,5.578671455,6.688879967,6.424352169,7.309887886,5.15514946,1141536,643802.0625,796047.375,709494,106514.375,2.85
8,122.9761124,9,143.4359436,163.813858,185.2158966,207.130661,12.73112202,14.35556316,15.58443928,25.91625977,27.87624931,29.11013031,21.60453987,24.90293884,23.78914261,20.12507248,19.54660988,24.92304039,21.53911018,21.43185997,24.38188362,20.71690178,22.15681458,23.90646744,19.581007,17.44606781,19.74251747,1425851.5,983404.0625,1158441.875,854395,351534.5938,22.47619048
9,1.509237528,10,1.586425543,1.636667967,1.672756672,1.694358468,0,0,0,0,0,0,0.011270581,0.005892973,0.009390834,0.002160355,0.000180354,0,0,0,0,0.00051024,0.002832276,0.005114791,0.002384093,0.010664075,0,99086.28125,95187.85938,120226.6094,34631.12109,171835.8438,0
10,0.166515276,11,0.185080454,0.202659562,0.220472857,0.23812966,0,0,0,0,0,0,0.000288323,0.000391776,0,0.00034642,0,0.000225912,0.000289984,7.77E-05,0.000174124,0.000256463,0.000333187,0.000361044,0.000817969,0.00106829,0.000258283,914262.625,5417.20459,218223.3594,281523.75,1401176.375,0
